bike_id,user_type,member_birth_year,member_gender
1416,Customer,1990.0,Female
1797,Subscriber,1994.0,Male
3612,Customer,1988.0,Male
2333,Customer,1998.0,Male
181,Subscriber,1967.0,Male
3264,Customer,,
1566,Customer,,
1649,Subscriber,1999.0,Male
2832,Subscriber,1989.0,Male
81,Subscriber,1966.0,Male
2451,Subscriber,1980.0,Male
2062,Subscriber,1996.0,Male
2060,Subscriber,1996.0,Female
2688,Subscriber,1994.0,Female
1821,Subscriber,1974.0,Male
567,Subscriber,1990.0,Male
855,Customer,1990.0,Female
1513,Subscriber,1995.0,Male
1148,Subscriber,1991.0,Female
2808,Subscriber,1995.0,Male
3687,Subscriber,1990.0,Male
873,Customer,1988.0,Female
1286,Subscriber,1991.0,Male
1321,Customer,1993.0,Male
1244,Customer,1993.0,Female
2568,Customer,1988.0,Female
2792,Subscriber,1987.0,Male
1465,Subscriber,1959.0,Male
1590,Customer,1952.0,Male
3621,Subscriber,1994.0,Male
2072,Subscriber,1967.0,Male
2702,Subscriber,1989.0,Male
975,Customer,1987.0,Female
3575,Subscriber,1973.0,Male
738,Subscriber,1989.0,Male
296,Subscriber,1984.0,Male
1704,Subscriber,1966.0,Male
3263,Subscriber,1989.0,Male
2765,Subscriber,1993.0,Male
886,Subscriber,1984.0,Male
2817,Subscriber,1963.0,Male
91,Subscriber,1990.0,Male
869,Subscriber,1984.0,Male
3018,Customer,1978.0,Female
2246,Subscriber,1984.0,Male
2639,Subscriber,1984.0,Male
3433,Subscriber,1987.0,Female
1102,Subscriber,1995.0,Male
2084,Subscriber,1994.0,Male
2618,Subscriber,1994.0,Female
3606,Subscriber,1988.0,Male
1739,Subscriber,1996.0,Female
1342,Subscriber,1993.0,Female
2644,Subscriber,1993.0,Male
1041,Subscriber,1995.0,Male
109,Subscriber,1961.0,Male
317,Subscriber,1987.0,Male
1082,Subscriber,1990.0,Male
51,Subscriber,1999.0,Male
1663,Subscriber,1980.0,Male
1437,Subscriber,1994.0,Male
2984,Subscriber,1992.0,Male
3828,Subscriber,1994.0,Male
3812,Subscriber,1994.0,Male
2782,Subscriber,1990.0,Male
1554,Subscriber,1988.0,Male
167,Customer,,
2073,Subscriber,1989.0,Male
3654,Subscriber,1961.0,Male
3558,Subscriber,1983.0,Male
903,Customer,1975.0,Male
795,Customer,1999.0,Male
3671,Subscriber,1994.0,Male
2355,Customer,1990.0,Male
1153,Subscriber,1990.0,Male
3656,Customer,1978.0,Male
3473,Subscriber,1981.0,Male
1308,Customer,1988.0,Male
2033,Subscriber,1984.0,Male
1661,Subscriber,1996.0,Male
1394,Subscriber,1982.0,Female
2410,Subscriber,1973.0,Male
3614,Subscriber,1982.0,Male
1647,Customer,1994.0,Male
793,Subscriber,1993.0,Male
3487,Customer,,
3803,Subscriber,1982.0,Male
3129,Customer,,
3276,Subscriber,1966.0,Male
3057,Subscriber,1974.0,Female
333,Subscriber,1987.0,Male
2582,Subscriber,1990.0,Male
4029,Subscriber,1977.0,Male
1511,Subscriber,1993.0,Male
142,Customer,1995.0,Female
515,Subscriber,1991.0,Male
321,Subscriber,1996.0,Male
4051,Subscriber,1990.0,Male
3636,Subscriber,1990.0,Male
1414,Customer,1990.0,Male
1117,Customer,1998.0,Male
2880,Subscriber,1981.0,Male
1655,Customer,1990.0,Female
2976,Subscriber,1956.0,Male
3132,Subscriber,1985.0,Male
1935,Subscriber,1992.0,Male
3231,Customer,1978.0,Male
2024,Subscriber,1988.0,Male
3533,Subscriber,1973.0,Male
2335,Customer,1984.0,Male
2037,Subscriber,1988.0,Female
2421,Subscriber,1993.0,Male
1267,Customer,1993.0,Female
2766,Customer,1989.0,Male
920,Customer,1986.0,Male
1377,Customer,1991.0,Male
1196,Customer,1990.0,Male
3743,Subscriber,1986.0,Female
1453,Subscriber,1984.0,Female
3726,Subscriber,1976.0,Male
3369,Customer,1987.0,Male
600,Subscriber,1987.0,Male
264,Subscriber,1977.0,Male
1662,Customer,1991.0,Male
2878,Subscriber,1977.0,Male
169,Customer,1979.0,Male
480,Customer,1989.0,Female
1746,Subscriber,1993.0,Male
3322,Subscriber,1968.0,Male
933,Subscriber,1976.0,Female
106,Subscriber,1990.0,Male
1282,Subscriber,1981.0,Male
2265,Subscriber,1995.0,Male
2267,Subscriber,1992.0,Female
1052,Subscriber,1993.0,Male
