id,name,dock_count,installation_date
2,San Jose Diridon Caltrain Station,27,08/06/2013
3,San Jose Civic Center,15,08/05/2013
4,Santa Clara at Almaden,11,08/06/2013
5,Adobe on Almaden,19,08/05/2013
6,San Pedro Square,15,08/07/2013
7,Paseo de San Antonio,15,08/07/2013
8,San Salvador at 1st,15,08/05/2013
9,Japantown,15,08/05/2013
10,San Jose City Hall,15,08/06/2013
11,MLK Library,19,08/06/2013
12,SJSU 4th at San Carlos,19,08/07/2013
13,St James Park,15,08/06/2013
14,Arena Green / SAP Center,19,08/05/2013
16,SJSU - San Salvador at 9th,15,08/07/2013
21,Franklin at Maple,15,08/12/2013
22,Redwood City Caltrain Station,25,08/15/2013
23,San Mateo County Center,15,08/15/2013
24,Redwood City Public Library,15,08/12/2013
25,Stanford in Redwood City,15,08/12/2013
26,Redwood City Medical Center,15,08/12/2013
27,Mountain View City Hall,15,08/16/2013
28,Mountain View Caltrain Station,23,08/15/2013
29,San Antonio Caltrain Station,23,08/15/2013
30,Evelyn Park and Ride,15,08/16/2013
31,San Antonio Shopping Center,15,12/31/2013
32,Castro Street and El Camino Real,11,12/31/2013
33,Rengstorff Avenue / California Street,15,08/16/2013
34,Palo Alto Caltrain Station,23,08/14/2013
35,University and Emerson,11,08/15/2013
36,California Ave Caltrain Station,15,08/14/2013
37,Cowper at University,11,08/14/2013
38,Park at Olive,15,08/14/2013
41,Clay at Battery,15,08/19/2013
42,Davis at Jackson,15,08/19/2013
45,Commercial at Montgomery,15,08/19/2013
46,Washington at Kearney,15,08/19/2013
47,Post at Kearney,19,08/19/2013
48,Embarcadero at Vallejo,15,08/19/2013
49,Spear at Folsom,19,08/20/2013
50,Harry Bridges Plaza (Ferry Building),23,08/20/2013
51,Embarcadero at Folsom,19,08/20/2013
39,Powell Street BART,19,08/25/2013
54,Embarcadero at Bryant,15,08/20/2013
55,Temporary Transbay Terminal (Howard at Beale),23,08/20/2013
56,Beale at Market,19,08/20/2013
57,5th at Howard,15,08/21/2013
58,San Francisco City Hall,19,08/21/2013
59,Golden Gate at Polk,23,08/21/2013
60,Embarcadero at Sansome,15,08/21/2013
61,2nd at Townsend,27,08/22/2013
62,2nd at Folsom,19,08/22/2013
63,Howard at 2nd,19,08/22/2013
64,2nd at South Park,15,08/22/2013
65,Townsend at 7th,15,08/22/2013
66,South Van Ness at Market,19,08/23/2013
67,Market at 10th,27,08/23/2013
68,Yerba Buena Center of the Arts (3rd @ Howard),19,08/23/2013
69,San Francisco Caltrain 2 (330 Townsend),23,08/23/2013
70,San Francisco Caltrain (Townsend at 4th),19,08/23/2013
71,Powell at Post (Union Square),19,08/23/2013
72,Civic Center BART (7th at Market),23,08/23/2013
73,Grant Avenue at Columbus Avenue,15,08/21/2013
74,Steuart at Market,23,08/25/2013
75,Mechanics Plaza (Market at Battery),19,08/25/2013
76,Market at 4th,19,08/25/2013
77,Market at Sansome,27,08/25/2013
80,Santa Clara County Civic Center,15,12/31/2013
82,Broadway St at Battery St,15,01/22/2014
83,Mezes Park,15,02/20/2014
84,Ryland Park,15,04/09/2014
