status_id,station_id,time,bikes_available,docks_available
0,2,08/29/2013 12:06:01,2,25
260491,3,08/29/2013 12:06:01,8,7
520981,4,08/29/2013 12:06:01,0,11
781471,5,08/29/2013 12:06:01,10,9
1041961,6,08/29/2013 12:06:01,1,14
1302451,7,08/29/2013 12:06:01,0,15
1562941,8,08/29/2013 12:06:01,8,7
1823431,9,08/29/2013 12:06:01,7,8
2083920,10,08/29/2013 12:06:01,8,7
2344409,11,08/29/2013 12:06:01,9,10
2604898,12,08/29/2013 12:06:01,4,15
2865387,13,08/29/2013 12:06:01,0,15
3125876,14,08/29/2013 12:06:01,10,9
3386365,16,08/29/2013 12:06:01,2,13
3646854,21,08/29/2013 12:06:01,8,7
3907343,22,08/29/2013 12:06:01,13,14
4167832,23,08/29/2013 12:06:01,8,7
4428321,24,08/29/2013 12:06:01,8,7
4688810,25,08/29/2013 12:06:01,7,8
4949299,26,08/29/2013 12:06:01,8,7
5209788,27,08/29/2013 12:06:01,7,8
5470277,28,08/29/2013 12:06:01,13,10
5730766,29,08/29/2013 12:06:01,12,11
5991255,30,08/29/2013 12:06:01,8,7
6251744,31,12/31/2013 08:48:02,2,13
6337327,32,12/31/2013 06:21:03,2,9
6423057,33,08/29/2013 12:06:01,8,7
6683546,34,08/29/2013 12:06:01,12,11
6944035,35,08/29/2013 12:06:01,6,5
7204524,36,08/29/2013 12:06:01,8,7
7465013,37,08/29/2013 12:06:01,5,6
7725502,38,08/29/2013 12:06:01,8,7
7985991,41,08/29/2013 12:06:01,9,6
8246480,42,08/29/2013 12:06:01,7,8
8506969,45,08/29/2013 12:06:01,11,4
8767458,46,08/29/2013 12:06:01,7,8
9027947,47,08/29/2013 12:06:01,10,9
9288436,48,08/29/2013 12:06:01,7,8
9548925,49,08/29/2013 12:06:01,10,9
9809414,50,08/29/2013 12:06:01,7,16
10069903,51,08/29/2013 12:06:01,9,10
10330392,39,08/29/2013 12:06:01,7,12
10590881,54,08/29/2013 12:06:01,9,6
10851370,55,08/29/2013 12:06:01,12,11
11111859,56,08/29/2013 12:06:01,11,8
11372348,57,08/29/2013 12:06:01,5,10
11632837,58,08/29/2013 12:06:01,14,5
11893326,59,08/29/2013 12:06:01,2,21
12153815,60,08/29/2013 12:06:01,8,7
12414304,61,08/29/2013 12:06:01,11,12
12674793,62,08/29/2013 12:06:01,10,9
12935282,63,08/29/2013 12:06:01,10,9
13195771,64,08/29/2013 12:06:01,11,4
13456260,65,08/29/2013 12:06:01,8,7
13716749,66,08/29/2013 12:06:01,10,9
13977238,67,08/29/2013 12:06:01,6,21
14237726,68,08/29/2013 12:06:01,10,9
14498214,69,08/29/2013 12:06:01,4,19
14758702,70,08/29/2013 12:06:01,0,19
15019190,71,08/29/2013 12:06:01,11,8
15279678,72,08/29/2013 12:06:01,14,9
15540166,73,08/29/2013 12:06:01,4,11
15800654,74,08/29/2013 12:06:01,10,9
16061142,75,08/29/2013 12:06:01,3,16
16321630,76,08/29/2013 12:06:01,9,10
16582118,77,08/29/2013 12:06:01,14,9
16842606,80,12/31/2013 10:29:03,2,13
16928088,82,01/22/2014 05:21:02,0,15
16982386,83,02/20/2014 12:24:02,0,15
