date,max_temperature_f,min_temperature_f,max_visibility_miles,events
08/29/2013,74.0,61.0,10.0,
08/30/2013,78.0,60.0,10.0,
08/31/2013,71.0,57.0,10.0,
09/01/2013,74.0,58.0,10.0,
09/02/2013,75.0,62.0,10.0,
09/03/2013,73.0,60.0,10.0,
09/04/2013,74.0,61.0,10.0,
09/05/2013,72.0,60.0,10.0,
09/06/2013,85.0,56.0,10.0,
09/07/2013,88.0,58.0,10.0,
09/08/2013,74.0,56.0,10.0,
09/09/2013,76.0,55.0,10.0,
09/10/2013,74.0,57.0,10.0,
09/11/2013,74.0,62.0,10.0,
09/12/2013,71.0,59.0,10.0,Fog
09/13/2013,66.0,57.0,10.0,
09/14/2013,66.0,57.0,10.0,
09/15/2013,73.0,58.0,10.0,
09/16/2013,71.0,59.0,10.0,
09/17/2013,68.0,57.0,10.0,
09/18/2013,78.0,54.0,10.0,
09/19/2013,80.0,54.0,10.0,
09/20/2013,73.0,56.0,10.0,
09/21/2013,68.0,58.0,10.0,Rain
09/22/2013,70.0,55.0,10.0,
09/23/2013,78.0,57.0,10.0,
09/24/2013,71.0,58.0,10.0,
09/25/2013,67.0,56.0,10.0,
09/26/2013,71.0,53.0,10.0,
09/27/2013,78.0,54.0,10.0,
09/28/2013,78.0,53.0,10.0,
09/29/2013,75.0,57.0,10.0,
09/30/2013,73.0,59.0,10.0,Fog
10/01/2013,69.0,56.0,10.0,
10/02/2013,69.0,54.0,10.0,
10/03/2013,70.0,54.0,10.0,
10/04/2013,76.0,61.0,10.0,
10/05/2013,80.0,57.0,10.0,
10/06/2013,83.0,56.0,10.0,
10/07/2013,80.0,56.0,10.0,
10/08/2013,72.0,52.0,10.0,
10/09/2013,68.0,52.0,10.0,
10/10/2013,70.0,53.0,10.0,
10/11/2013,63.0,51.0,10.0,
10/12/2013,64.0,47.0,10.0,Fog
10/13/2013,73.0,51.0,10.0,
10/14/2013,77.0,51.0,10.0,
10/15/2013,80.0,53.0,10.0,
10/16/2013,80.0,53.0,10.0,
10/17/2013,81.0,54.0,10.0,
10/18/2013,68.0,51.0,10.0,
10/19/2013,74.0,49.0,10.0,
10/20/2013,64.0,49.0,10.0,Fog
10/21/2013,61.0,48.0,10.0,
10/22/2013,64.0,47.0,10.0,Fog
10/23/2013,61.0,49.0,10.0,Fog
10/24/2013,60.0,53.0,10.0,
10/25/2013,67.0,50.0,10.0,
10/26/2013,70.0,49.0,10.0,Fog
10/27/2013,60.0,50.0,10.0,Rain
10/28/2013,61.0,52.0,10.0,
10/29/2013,63.0,52.0,10.0,
10/30/2013,65.0,48.0,10.0,
10/31/2013,70.0,48.0,10.0,
11/01/2013,74.0,51.0,10.0,
11/02/2013,63.0,50.0,10.0,
11/03/2013,63.0,47.0,10.0,
11/04/2013,67.0,44.0,10.0,
11/05/2013,71.0,50.0,10.0,
11/06/2013,70.0,51.0,10.0,
11/07/2013,71.0,56.0,10.0,
11/08/2013,70.0,50.0,10.0,Fog
11/09/2013,66.0,48.0,10.0,
11/10/2013,64.0,51.0,10.0,
11/11/2013,62.0,54.0,10.0,
11/12/2013,70.0,57.0,10.0,
11/13/2013,68.0,52.0,10.0,Fog
11/14/2013,61.0,51.0,10.0,
11/15/2013,65.0,50.0,10.0,
11/16/2013,62.0,49.0,10.0,
11/17/2013,63.0,49.0,10.0,
11/18/2013,60.0,46.0,10.0,
11/19/2013,61.0,54.0,10.0,Rain
11/20/2013,59.0,51.0,10.0,Rain
11/21/2013,62.0,50.0,10.0,Rain
11/22/2013,69.0,57.0,10.0,
11/23/2013,65.0,50.0,10.0,
11/24/2013,60.0,45.0,10.0,
11/25/2013,61.0,44.0,10.0,
11/26/2013,62.0,47.0,10.0,
11/27/2013,62.0,48.0,10.0,
11/28/2013,66.0,49.0,10.0,
11/29/2013,62.0,46.0,10.0,Fog
11/30/2013,63.0,45.0,10.0,Fog
12/01/2013,67.0,46.0,10.0,
12/02/2013,62.0,46.0,10.0,Fog-Rain
12/03/2013,56.0,46.0,10.0,
12/04/2013,52.0,39.0,10.0,
12/05/2013,51.0,35.0,10.0,
12/06/2013,53.0,37.0,10.0,Rain
12/07/2013,52.0,38.0,10.0,Rain
12/08/2013,47.0,36.0,10.0,
12/09/2013,52.0,36.0,10.0,
12/10/2013,52.0,34.0,10.0,
12/11/2013,57.0,38.0,10.0,
12/12/2013,54.0,38.0,10.0,
12/13/2013,53.0,40.0,10.0,
12/14/2013,61.0,39.0,10.0,
12/15/2013,60.0,40.0,10.0,
12/16/2013,65.0,43.0,10.0,
12/17/2013,59.0,46.0,9.0,
12/18/2013,57.0,44.0,10.0,
12/19/2013,59.0,47.0,10.0,
12/20/2013,60.0,40.0,10.0,
12/21/2013,60.0,47.0,10.0,
12/22/2013,65.0,43.0,10.0,
12/23/2013,60.0,44.0,10.0,
12/24/2013,59.0,45.0,10.0,
12/25/2013,63.0,42.0,10.0,
12/26/2013,62.0,43.0,10.0,
12/27/2013,57.0,43.0,10.0,
12/28/2013,63.0,40.0,10.0,
12/29/2013,68.0,42.0,10.0,
12/30/2013,59.0,42.0,10.0,
12/31/2013,59.0,41.0,10.0,Fog
01/01/2014,56.0,41.0,10.0,
01/02/2014,62.0,43.0,10.0,
01/03/2014,64.0,44.0,10.0,
01/04/2014,66.0,43.0,10.0,Fog
01/05/2014,66.0,44.0,10.0,
01/06/2014,60.0,44.0,10.0,
01/07/2014,61.0,46.0,10.0,Rain
01/08/2014,59.0,52.0,10.0,
01/09/2014,60.0,52.0,10.0,
01/10/2014,60.0,48.0,10.0,
01/11/2014,58.0,46.0,10.0,
01/12/2014,60.0,46.0,10.0,
01/13/2014,67.0,42.0,10.0,
01/14/2014,72.0,44.0,10.0,
01/15/2014,73.0,48.0,10.0,
01/16/2014,73.0,46.0,10.0,
01/17/2014,67.0,45.0,10.0,
01/18/2014,67.0,43.0,10.0,
01/19/2014,67.0,43.0,10.0,
01/20/2014,66.0,43.0,10.0,
01/21/2014,68.0,43.0,10.0,
01/22/2014,65.0,44.0,10.0,
01/23/2014,69.0,44.0,10.0,
01/24/2014,64.0,46.0,10.0,
01/25/2014,65.0,48.0,10.0,
01/26/2014,66.0,48.0,10.0,
01/27/2014,59.0,48.0,10.0,
01/28/2014,65.0,53.0,10.0,
01/29/2014,63.0,54.0,10.0,Rain
01/30/2014,58.0,52.0,10.0,Rain
01/31/2014,60.0,47.0,10.0,
02/01/2014,59.0,42.0,10.0,
02/02/2014,58.0,47.0,10.0,Rain
02/03/2014,56.0,46.0,10.0,
02/04/2014,55.0,44.0,10.0,
02/05/2014,55.0,43.0,10.0,Rain
02/06/2014,52.0,48.0,10.0,Rain
02/07/2014,56.0,51.0,10.0,Rain
02/08/2014,59.0,53.0,10.0,Rain
02/09/2014,59.0,55.0,10.0,Rain
02/10/2014,57.0,51.0,10.0,Rain
02/11/2014,56.0,49.0,10.0,
02/12/2014,56.0,46.0,10.0,Fog
02/13/2014,67.0,50.0,10.0,Fog
02/14/2014,66.0,56.0,10.0,
02/15/2014,62.0,52.0,10.0,Rain
02/16/2014,63.0,50.0,10.0,
02/17/2014,61.0,46.0,10.0,
02/18/2014,62.0,48.0,10.0,
02/19/2014,62.0,51.0,10.0,
02/20/2014,67.0,45.0,10.0,
02/21/2014,69.0,47.0,10.0,
02/22/2014,66.0,46.0,10.0,
02/23/2014,63.0,46.0,10.0,
02/24/2014,71.0,45.0,10.0,
02/25/2014,62.0,48.0,10.0,
02/26/2014,60.0,54.0,10.0,Rain
02/27/2014,62.0,55.0,10.0,Rain
02/28/2014,63.0,55.0,10.0,rain
03/01/2014,69.0,54.0,10.0,Rain
03/02/2014,61.0,53.0,10.0,Rain
03/03/2014,61.0,50.0,10.0,Rain
03/04/2014,66.0,55.0,10.0,Rain
03/05/2014,66.0,54.0,10.0,Rain
03/06/2014,65.0,51.0,10.0,Rain
03/07/2014,66.0,48.0,10.0,
03/08/2014,72.0,46.0,10.0,Fog
03/09/2014,71.0,55.0,10.0,Rain
03/10/2014,68.0,56.0,10.0,Rain
03/11/2014,74.0,47.0,10.0,
03/12/2014,78.0,53.0,10.0,
03/13/2014,73.0,46.0,10.0,
03/14/2014,67.0,53.0,10.0,
03/15/2014,77.0,47.0,10.0,Fog
03/16/2014,72.0,48.0,10.0,Fog
03/17/2014,69.0,49.0,10.0,
03/18/2014,70.0,43.0,10.0,
03/19/2014,73.0,45.0,10.0,
03/20/2014,70.0,50.0,10.0,
03/21/2014,63.0,48.0,10.0,
03/22/2014,65.0,51.0,10.0,
03/23/2014,65.0,48.0,10.0,
03/24/2014,72.0,46.0,10.0,
03/25/2014,63.0,45.0,10.0,Rain
03/26/2014,62.0,53.0,10.0,Rain
03/27/2014,65.0,56.0,10.0,
03/28/2014,69.0,56.0,10.0,Rain
03/29/2014,60.0,53.0,10.0,Rain
03/30/2014,61.0,50.0,10.0,
03/31/2014,57.0,48.0,10.0,Rain
04/01/2014,58.0,46.0,10.0,Rain
04/02/2014,61.0,45.0,10.0,Rain
04/03/2014,62.0,46.0,10.0,
04/04/2014,61.0,50.0,10.0,Rain
04/05/2014,65.0,46.0,10.0,
04/06/2014,72.0,49.0,10.0,
04/07/2014,79.0,51.0,10.0,
04/08/2014,78.0,56.0,10.0,
04/09/2014,66.0,52.0,10.0,
04/10/2014,74.0,51.0,10.0,
